,LR_9_6,Em
1POW_72,68.75502820063687,-62.0
1QGZ_73,85.65948916418515,-302.0
1QH0_74,54.97709896155063,-317.0
1QLT_75,30.53963505736516,-65.0
1QLU_76,52.76994565607689,-90.5
1QO8_77,36.06905799107813,-152.0
1QUE_78,8.419353122932733,-370.5
1QUE_79,14.805345278172007,-370.5
1QUF_80,13.10628526072125,-325.0
1SIQ_81,33.359569096640556,-90.0
1SIQ_82,22.841234714079054,-132.0
1SIQ_83,16.681500437953694,-156.0
1VAO_84,103.2680285428452,55.0
1W34_85,135.5696599390603,-250.0
1W35_86,42.63398711451033,-376.0
1YOB_87,44.999588914663455,-250.5
1YOB_88,30.79743181106278,-329.5
2CND_89,69.8164394285689,-260.0
2DU8_90,72.34025264065411,-100.0
2E48_91,31.201979372106184,-134.0
2FCR_92,40.62276062326622,-302.5
2FOX_93,21.714084384118905,-245.5
2FVX_94,42.015582945444336,-295.0
2J6X_95,20.184267494783597,-128.0
2PIA_96,31.08419654818415,-229.0
2R0M_97,25.558307181357318,-131.0
2V5V_98,19.28630818772761,-337.0
2VFR_99,77.27101264066138,-109.0
2OHI_100,25.022110078213924,-230.0
2OHJ_101,30.95716202130974,-230.0
2X3U_102,23.717891975397304,-356.0
3CLR_103,116.71722301326422,-37.0
3CLS_104,61.38101158382416,-101.0
3CLT_105,32.04241320733446,-129.0
3D2D_106,160.78326035403697,132.0
3D9G_107,246.50396260388166,-367.0
3FJO_108,107.89274065234511,-328.5
3FW8_109,85.51083246002844,53.0
3GYJ_110,62.498940479834594,-216.0
3GYJ_111,40.7124545234706,-103.0
3KAQ_112,90.03553610128151,-213.5
3NLL_113,12.574131434109782,-258.0
3QFS_114,35.8358062766364,-354.5
3QFS_115,68.43466405720024,-399.5
3QFS_116,20.294884121869348,-332.5
3QFS_117,49.72419362260759,-375.5
3QJ4_118,25.344817833189303,-155.0
3W2G_119,96.63788901656507,-117.5
3W5H_120,37.66558737360002,-160.0
3W2I_121,33.45823645239295,-194.0
3ZBT_122,8.872447427497463,-364.0
3ZBU_123,8.731834083576786,-358.0
4BPR_124,40.639848916691854,-363.0
4DQL_125,40.91620028631259,-332.0
4FEG_126,33.61307199660987,-62.0
4JDR_127,148.0230090124852,-314.0
4MJW_128,278.5188705609302,73.0
4NLL_129,30.928323929977,-259.0
4NUL_130,53.540616558601755,-295.0
4TTB_131,31.619413956062573,-233.0
4YAF_132,152.45534379919727,-154.0
5K9B_133,33.15452696672237,-270.0
5K9B_134,63.61078189893565,-375.0
5K9B_135,19.655851754346248,-325.5
5NLL_136,30.470722033773292,-245.5
5NUL_137,49.84023192506817,-295.0
5OL2_138,71.15421717548612,-279.0
5ULL_139,20.444127310048863,-245.5
5YAK_140,82.46000258428289,-215.0
6OHK_141,124.17175158003356,-136.5
6OHL_142,113.64586150142982,-149.5
